_Hex,_Red,_Green,_Blue,_Title,_Name,_grey,_X11,_SVG,
'90EE90,144,238,144,PaleGreen2,,,X11,,
'7CCD7C,124,205,124,PaleGreen3,,,X11,,
'548B54,84,139,84,PaleGreen4,,,X11,,
'AFEEEE,175,238,238,PaleTurquoise,pale-turquoise,,X11,SVG,
'BBFFFF,187,255,255,PaleTurquoise1,,,X11,,
'AEEEEE,174,238,238,PaleTurquoise2,,,X11,,
'96CDCD,150,205,205,PaleTurquoise3,,,X11,,
'668B8B,102,139,139,PaleTurquoise4,,,X11,,
'DB7093,219,112,147,PaleVioletRed,pale-violet-red,,X11,SVG,
'FF82AB,255,130,171,PaleVioletRed1,,,X11,,
'EE799F,238,121,159,PaleVioletRed2,,,X11,,
'CD6889,205,104,137,PaleVioletRed3,,,X11,,
'8B475D,139,71,93,PaleVioletRed4,,,X11,,
'FFEFD5,255,239,213,PapayaWhip,papaya-whip,,X11,SVG,
